barrier_width_a,T_numerical,T_wkb,T_exact
3.000000e-01,4.955519e-01,2.048788e-01,4.807414e-01
4.947368e-01,2.157907e-01,7.321062e-02,1.958221e-01
6.894737e-01,9.193863e-02,2.616080e-02,7.305159e-02
8.842105e-01,4.077357e-02,9.348203e-03,2.649249e-02
1.078947e+00,1.936518e-02,3.340451e-03,9.516044e-03
1.273684e+00,1.017095e-02,1.193664e-03,3.406709e-03
1.468421e+00,6.196261e-03,4.265394e-04,1.218142e-03
1.663158e+00,4.560872e-03,1.524180e-04,4.353885e-04
1.857895e+00,3.989982e-03,5.446447e-05,1.555931e-04
2.052632e+00,3.873754e-03,1.946213e-05,5.560073e-05
2.247368e+00,3.914948e-03,6.954522e-06,1.986837e-05
2.442105e+00,3.980317e-03,2.485103e-06,7.099715e-06
2.636842e+00,4.024640e-03,8.880172e-07,2.536989e-06
2.831579e+00,4.042776e-03,3.173207e-07,9.065583e-07
3.026316e+00,4.026361e-03,1.133902e-07,3.239462e-07
3.221053e+00,4.021234e-03,4.051841e-08,1.157577e-07
3.415789e+00,4.098541e-03,1.447870e-08,4.136442e-08
3.610526e+00,4.184813e-03,5.173762e-09,1.478101e-08
3.805263e+00,4.126046e-03,1.848773e-09,5.281788e-09
4.000000e+00,4.126046e-03,6.606334e-10,1.887374e-09
